#t				#error_frob				#cerror_y_j_frob
0.000000e+00	1.000000e+00	0.000000e+00
5.000000e-02	9.501693e-01	9.501703e-07
1.000000e-01	9.028218e-01	9.028227e-07
1.500000e-01	8.578336e-01	8.578344e-07
2.000000e-01	8.150872e-01	8.150880e-07
2.500000e-01	7.744708e-01	7.744716e-07
3.000000e-01	7.358784e-01	7.358792e-07
3.500000e-01	6.992091e-01	6.992098e-07
4.000000e-01	6.643671e-01	6.643678e-07
4.500000e-01	6.312612e-01	6.312619e-07
5.000000e-01	5.998051e-01	5.998057e-07
5.500000e-01	5.699164e-01	5.699170e-07
6.000000e-01	5.415171e-01	5.415176e-07
6.500000e-01	5.145329e-01	5.145335e-07
7.000000e-01	4.888934e-01	4.888939e-07
7.500000e-01	4.645315e-01	4.645320e-07
8.000000e-01	4.413836e-01	4.413841e-07
8.500000e-01	4.193892e-01	4.193896e-07
9.000000e-01	3.984908e-01	3.984912e-07
9.500000e-01	3.786337e-01	3.786341e-07
1.000000e+00	3.597661e-01	3.597665e-07
1.050000e+00	3.418388e-01	3.418391e-07
1.100000e+00	3.248047e-01	3.248050e-07
1.150000e+00	3.086195e-01	3.086198e-07
1.200000e+00	2.932408e-01	2.932411e-07
1.250000e+00	2.786284e-01	2.786287e-07
1.300000e+00	2.647441e-01	2.647444e-07
1.350000e+00	2.515518e-01	2.515520e-07
1.400000e+00	2.390168e-01	2.390170e-07
1.450000e+00	2.271064e-01	2.271066e-07
1.500000e+00	2.157896e-01	2.157898e-07
1.550000e+00	2.050366e-01	2.050368e-07
1.600000e+00	1.948195e-01	1.948197e-07
1.650000e+00	1.851115e-01	1.851117e-07
1.700000e+00	1.758873e-01	1.758875e-07
1.750000e+00	1.671227e-01	1.671229e-07
1.800000e+00	1.587949e-01	1.587950e-07
1.850000e+00	1.508820e-01	1.508822e-07
1.900000e+00	1.433635e-01	1.433636e-07
1.950000e+00	1.362196e-01	1.362197e-07
2.000000e+00	1.294317e-01	1.294318e-07
2.050000e+00	1.229820e-01	1.229821e-07
2.100000e+00	1.168537e-01	1.168538e-07
2.150000e+00	1.110308e-01	1.110309e-07
2.200000e+00	1.054981e-01	1.054982e-07
2.250000e+00	1.002411e-01	1.002412e-07
2.300000e+00	9.524598e-02	9.524607e-08
2.350000e+00	9.049981e-02	9.049990e-08
2.400000e+00	8.599014e-02	8.599023e-08
2.450000e+00	8.170520e-02	8.170528e-08
2.500000e+00	7.763377e-02	7.763385e-08
2.550000e+00	7.376523e-02	7.376531e-08
2.600000e+00	7.008946e-02	7.008953e-08
2.650000e+00	6.659686e-02	6.659693e-08
2.700000e+00	6.327829e-02	6.327836e-08
2.750000e+00	6.012509e-02	6.012515e-08
2.800000e+00	5.712902e-02	5.712908e-08
2.850000e+00	5.428225e-02	5.428230e-08
2.900000e+00	5.157733e-02	5.157738e-08
2.950000e+00	4.900719e-02	4.900724e-08
3.000000e+00	4.656513e-02	4.656518e-08
3.050000e+00	4.424476e-02	4.424481e-08
3.100000e+00	4.204002e-02	4.204006e-08
3.150000e+00	3.994513e-02	3.994517e-08
3.200000e+00	3.795464e-02	3.795468e-08
3.250000e+00	3.606334e-02	3.606337e-08
3.300000e+00	3.426628e-02	3.426631e-08
3.350000e+00	3.255877e-02	3.255880e-08
3.400000e+00	3.093634e-02	3.093637e-08
3.450000e+00	2.939476e-02	2.939479e-08
3.500000e+00	2.793000e-02	2.793003e-08
3.550000e+00	2.653823e-02	2.653826e-08
3.600000e+00	2.521582e-02	2.521584e-08
3.650000e+00	2.395929e-02	2.395932e-08
3.700000e+00	2.276539e-02	2.276541e-08
3.750000e+00	2.163097e-02	2.163099e-08
3.800000e+00	2.055309e-02	2.055311e-08
3.850000e+00	1.952891e-02	1.952893e-08
3.900000e+00	1.855577e-02	1.855579e-08
3.950000e+00	1.763113e-02	1.763115e-08
4.000000e+00	1.675256e-02	1.675257e-08
4.050000e+00	1.591777e-02	1.591778e-08
4.100000e+00	1.512457e-02	1.512459e-08
4.150000e+00	1.437091e-02	1.437092e-08
4.200000e+00	1.365479e-02	1.365481e-08
4.250000e+00	1.297437e-02	1.297438e-08
4.300000e+00	1.232785e-02	1.232786e-08
4.350000e+00	1.171354e-02	1.171355e-08
4.400000e+00	1.112985e-02	1.112986e-08
4.450000e+00	1.057524e-02	1.057525e-08
4.500000e+00	1.004827e-02	1.004828e-08
4.550000e+00	9.547557e-03	9.547567e-09
4.600000e+00	9.071796e-03	9.071805e-09
4.650000e+00	8.619743e-03	8.619751e-09
4.700000e+00	8.190215e-03	8.190224e-09
4.750000e+00	7.782092e-03	7.782099e-09
4.800000e+00	7.394305e-03	7.394312e-09
4.850000e+00	7.025842e-03	7.025849e-09
4.900000e+00	6.675739e-03	6.675746e-09
4.950000e+00	6.343083e-03	6.343089e-09
5.000000e+00	6.027003e-03	6.027009e-09
5.050000e+00	5.726673e-03	5.726679e-09
5.100000e+00	5.441310e-03	5.441315e-09
5.150000e+00	5.170166e-03	5.170171e-09
5.200000e+00	4.912533e-03	4.912538e-09
5.250000e+00	4.667738e-03	4.667743e-09
5.300000e+00	4.435142e-03	4.435146e-09
5.350000e+00	4.214136e-03	4.214140e-09
5.400000e+00	4.004142e-03	4.004146e-09
5.450000e+00	3.804613e-03	3.804617e-09
5.500000e+00	3.615027e-03	3.615031e-09
5.550000e+00	3.434888e-03	3.434891e-09
5.600000e+00	3.263725e-03	3.263728e-09
5.650000e+00	3.101092e-03	3.101095e-09
5.700000e+00	2.946562e-03	2.946565e-09
